Ref,Val,Package,PosX,PosY,Rot,Side
"C101","20p","C_0402_1005Metric",19.800000,21.850000,0.000000,top
"C102","20p","C_0402_1005Metric",19.225000,27.175000,180.000000,top
"C103","47p","C_0402_1005Metric",13.625000,30.955000,-90.000000,top
"C104","47p","C_0402_1005Metric",10.557500,30.970000,-90.000000,top
"C105","100n","C_0402_1005Metric",1.445000,18.375000,180.000000,top
"C106","100n","C_0402_1005Metric",1.445000,19.350000,180.000000,top
"C107","100n","C_0402_1005Metric",11.750000,17.350000,-90.000000,top
"C108","4u7","C_0402_1005Metric",10.050000,38.450000,180.000000,top
"C109","100n","C_0402_1005Metric",15.425000,26.050000,90.000000,top
"C110","1u","C_0402_1005Metric",10.050000,36.980000,0.000000,top
"C111","100n","C_0402_1005Metric",14.625000,30.955000,90.000000,top
"C112","100n","C_0402_1005Metric",12.750000,17.350000,-90.000000,top
"C113","1u","C_0402_1005Metric",15.475000,36.055000,-90.000000,top
"C114","4u7","C_0402_1005Metric",15.475000,37.955000,90.000000,top
"C115","100n","C_0402_1005Metric",1.425000,8.600000,0.000000,top
"C116","100n","C_0402_1005Metric",10.270000,10.575000,180.000000,top
"D101","LED","D_0603_1608Metric",15.375000,33.437500,-90.000000,top
"J101","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",3.425000,34.825000,-90.000000,top
"L101","IP4252CZ16-8-TTL,1","UDFN-16_L3.3-W1.4-P0.40-BL-EP",9.325000,5.200000,0.000000,top
"L102","IP4252CZ16-8-TTL,1","UDFN-16_L3.3-W1.4-P0.40-BL-EP",13.200000,5.200000,0.000000,top
"R101","1k","R_0402_1005Metric",19.095000,33.705000,180.000000,top
"R102","5k1","R_0402_1005Metric",10.050000,35.955000,0.000000,top
"R103","5k1","R_0402_1005Metric",9.567500,30.960000,-90.000000,top
"R104","27R","R_0402_1005Metric",11.575000,30.975000,-90.000000,top
"R105","27R","R_0402_1005Metric",12.600000,30.950000,-90.000000,top
"R106","10k","R_0402_1005Metric",19.095000,34.805000,0.000000,top
"R107","10k","R_0402_1005Metric",1.430000,9.600000,0.000000,top
"R108","10k","R_0402_1005Metric",12.200000,10.575000,0.000000,top
"R109","10k","R_0402_1005Metric",15.650000,30.925000,90.000000,top
"RN101","150k","R_Array_Concave_4x0402",12.225000,15.112500,180.000000,top
"RN102","150k","R_Array_Concave_4x0402",10.150000,12.537500,0.000000,top
"RN103","150k","R_Array_Concave_4x0402",12.225000,12.537500,180.000000,top
"RN104","150k","R_Array_Concave_4x0402",10.150000,15.112500,0.000000,top
"SW101","BOOT","TS-1187A-B-A-B",19.095000,30.455000,90.000000,top
"SW102","RESET","TS-1187A-B-A-B",19.120000,38.055000,90.000000,top
"U101","W25Q128JVS","SOIC-8W_5.3x5.3mm_P1.27mm",3.100000,24.675000,90.000000,top
"U102","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",10.725000,25.175000,90.000000,top
"U103","SRV05-4","SOT-23-6",11.175000,33.680000,0.000000,top
"U104","XC6206","SOT-23",13.012500,37.180000,180.000000,top
"U105","SN74LVC4245","TSSOP-24_4.4x7.8mm_P0.65mm",4.675000,13.987500,90.000000,top
"U106","SN74LVC4245","TSSOP-24_4.4x7.8mm_P0.65mm",17.625000,13.962500,90.000000,top
"Y101","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",19.025000,24.500000,-90.000000,top
