Comment,Designator,Footprint,JLCPCB Part #
10k,"R109,R107,R108,R106",0402_R,
LED,D101,0603_D,C2290
"IP4252CZ16-8-TTL,1","L102,L101",UDFN-16,C458218
W25Q128JVS,U101,SOIC-8,C97521
12MHz,Y101,Crystal_SMD_3225,C9002
SN74LVC4245,"U106,U105",TSSOP-24,C7859
XC6206,U104,SOT-23,C5446
SRV05-4,U103,SOT-23-6,C85364
RP2040,U102,QFN-56,C2040
BUTTON,"SW101, SW102",TS-1187A-B-A-B,C318884
150k,"RN104,RN103,RN102,RN101",R_Array_Concave_4x0402,C425271
27R,"R105,R104",0402_R,
5k1,"R103,R102",0402_R,
1k,R101,0402_R,
USB_C_Receptacle_USB2.0,J101,HRO_TYPE-C-31-M-12,C165948
100n,"C116,C115,C112,C111,C109,C107,C106,C105",0402_C,
4u7,"C114,C108",0402_C,
1u,"C113,C110",0402_C,
47p,"C104,C103",0402_C,
20p,"C102,C101",0402_C,
