Designator,Mid X,Mid Y,Layer,Rotation
C101,19.8,21.85,T ,0
C102,19.225,27.175,T ,180
C103,13.625,30.955,T ,-90
C104,10.5575,30.97,T ,-90
C105,1.445,18.375,T ,180
C106,1.445,19.35,T ,180
C107,11.75,17.35,T ,-90
C108,10.05,38.45,T ,180
C109,15.425,26.05,T ,90
C110,10.05,36.98,T ,0
C111,14.625,30.955,T ,90
C112,12.75,17.35,T ,-90
C113,15.475,36.055,T ,-90
C114,15.475,37.955,T ,90
C115,1.425,8.6,T ,0
C116,10.27,10.575,T ,180
D101,15.375,33.4375,T ,-90
J101,3.425,34.825,T ,-90
L101,9.325,5.2,T ,0
L102,13.2,5.2,T ,0
R101,19.095,33.705,T ,180
R102,10.05,35.955,T ,0
R103,9.5675,30.96,T ,-90
R104,11.575,30.975,T ,-90
R105,12.6,30.95,T ,-90
R106,19.095,34.805,T ,0
R107,1.43,9.6,T ,0
R108,12.2,10.575,T ,0
R109,15.65,30.925,T ,90
RN101,12.225,15.1125,T ,180
RN102,10.15,12.5375,T ,0
RN103,12.225,12.5375,T ,180
RN104,10.15,15.1125,T ,0
SW101,19.095,30.455,T ,90
SW102,19.12,38.055,T ,90
U101,3.1,24.675,T ,90
U102,10.725,25.175,T ,90
U103,11.175,33.68,T ,0
U104,13.0125,37.18,T ,180
U105,4.675,13.9875,T ,90
U106,17.625,13.9625,T ,90
Y101,19.025,24.5,T ,-90
